label,slug,title,discountPrice,soldQuantity,quantity,brand,series,totalRating,features,color,Năm ra mắt,Xuất xứ,Loại card đồ họa,Loại CPU,Dung lượng RAM,Loại RAM,Mô tả ram,Ổ cứng,Dung lượng ổ cứng,Tần số quét,Chất liệu tấm nền,Kích thước màn hình,Công nghệ màn hình,Độ phân giải màn hình,Công nghệ âm thanh,Chất liệu,Kích thước,Trọng lượng,Tính năng đặc biệt,Loại đèn bàn phím,Bảo mật,Webcam,Hệ điều hành,Pin,Wi-Fi,Bluetooth,Cổng giao tiếp
Gaming,laptop-lenovo-yoga-pro-7-14irh8-82y70050vn,Laptop Lenovo Yoga Pro 7 14IRH8 82Y70050VN,19000000,3,66,lenovo,yoga,1.8,"Sở hữu con chip I7-13700H giúp đáp ứng tốt các tác vụ văn phòng cùng chơi game Trang bị RAM 16GB cùng ổ cứng SSD 512 giúp laptop vừa có không gian lưu trữ lớn nhưng vẫn chạy mượt Màn hình 14.5 inch trang bị nhiều công nghệ như chống chói, bảo vệ mắt, Dolby Vision giúp bạn thỏa thích chơi game nhưng vẫn bảo vệ được đôi mắt Laptop có thiết kế sang trọng, trọng lượng chỉ 1.49 kg, thích hợp mang theo bên người nhưng không mỏi lưng",Xanh dương,2023,Nhật Bản,NVIDIA GeForce RTX 4050 6GB GDDR6,"Intel Core i7-13700H 2.4 GHz (Up to 5.0 GHz, 16 lõi / 20 luồng, 24 MB Cache)",16GB,DDR5-5200 Onboard,16GB DDR5-5200 Onboard,512GB PCIe SSDCó thể tháo ra nâng cấp tối đa 1TB,512GB,120Hz,Tấm nền IPS,14.5 inches,Công nghệ Dolby Vision Công nghệ an toàn cho mắt Độ sáng tối đa 400nits Độ phủ màu 100% DCI-P3 Màn hình chống chói,3072 x 1920 pixels,,,325.5 x 226.49 x 15.6 mm,1.49 kg,Wi-Fi 6,Backlit,,FHD 1080p với màn trập cameraToF Senso,Windows 11 Home,73Wh,Wi-Fi 6E 11ax (2x2),Bluetooth 5.1,1x USB 3.2 Gen 1 1x USB-C 3.2 Gen 2 1x Thunderbolt 4 / USB4 40Gbps 1x HDMI 1x Jack cắm tai nghe
Gaming,laptop-msi-gaming-msi-gf63-12ucx-841vn,Laptop MSI Gaming GF63 12UCX-841VN,14000000,66,64,msi,gf63,0.0,"Dễ dàng chơi tựa game phổ biến hay chỉnh sửa, thiết kế 2D, 3D cơ bản nhờ chip Intel Core i5 12450H cùng card đồ họa RTX 2050 4 GB RAM 8 GB giúp chiến game, thao tác hay xử lý các công việc không bị giật lag hay gián đoạn Ổ cứng SSD 512 GB cho phép bạn truy xuất hay khởi động phần mềm, game nhanh chóng Màn hình 15.6 inch Full HD cùng tấm nền IPS cho khả năng tái tạo màu sắc tốt, sắc nét, rõ ràng Tần số quét cao 144 Hz cũng sẽ giúp hạn chế hình trạng xé hình, trễ ảnh khi chơi game hay video có tốc độ chuyển cảnh nhanh",Đen,2023,Nhật Bản,NVIDIA GeForce RTX 2050 4GB GDDR6,"Intel Core i5-12450H (2.0 GHz - 4.4 GHz, 12MB, 8 nhân / 12 luồng)",8GB,DDR4 3200MHz,8GB DDR4 3200MHz 1 khe trống ( nâng cấp tối đa 64GB),512GB SSD M.2 NVMe,512GB,144 Hz,Tấm nền IPS,15.6 inches,,1920 x 1080 pixels (FullHD),"Nahimic, HiRes Audio",,359 x 254 x 21.5 mm,1.85 kg,Wi-Fi 6,LED,,HD webcam,Windows 11 Home,3 cell 52.4 Wh,WiFi 802.11ax (Wifi 6),Bluetooth 5.2,1x HDMI1x USB Type C / DisplayPort / Power Delivery3 x USB 3.2 1x Audio combo1x LAN 1 Gb/s
Gaming,laptop-gaming-acer-nitro-v-anv16-41-r7en,Laptop Gaming Acer Nitro V 16 ProPanel ANV16-41-R7EN,12000000,26,17,acer,nitro,2.0,"Thiết kế hầm hố, phù hợp cho game thủ chuyên nghiệp và người dùng đam mê trải nghiệm game đỉnh cao. Bộ xử lý AMD Ryzen 7-8845HS mạnh mẽ, cho hiệu suất xử lý mượt mà, đáp ứng tốt nhu cầu chơi game ở mức cấu hình cao. RAM 16GB và ổ cứng SSD 512GB PCIe mang đến tốc độ xử lý nhanh chóng, khởi động máy và mở ứng dụng nhanh chóng. Card đồ họa NVIDIA GeForce RTX 3050 6GB cho khả năng xử lý đồ họa mạnh mẽ, mang đến trải nghiệm game mượt mà, hình ảnh đẹp mắt. Màn hình 16.0 inch WUXGA 165Hz sắc nét, tốc độ làm tươi cao, cho hình ảnh chuyển động mượt mà, không bị giật lag.",Đen,2021,Hàn Quốc,NVIDIA GeForce RTX 3050 6GB GDDR6 VRAM,"AMD Ryzen 7 8845HS (8 lõi, 16 luồng, 3.8 GHz, 5.1 GHz, 8 MB L2 cache, up to 16 MB L3 cache)",16GB,DDR5 5600 MT/s,"16GB DDR5 5600 MT/s 2 khe (1x16GB, nâng cấp tối đa 64GB)","512GB PCIe NVMe SSD, 2 khe SSD (Up to 4TB PCIe Gen4 NVMe SSD)",512GB,165 Hz,Tấm nền IPS,16 inches,Độ sáng 300nitsĐộ phủ màu 100% sRGBAcer ComfyView Màn hình LCD TFT có đèn nền LED Góc nhìn rộng lên đến 170 độ,1920 x 1200 pixels (WUXGA),DTS X:Ultra Audio Kết xuất âm thanh sống động qua tai nghe và loa trong DAC SNR cao Acer Purified Tương thích với Cortana bằng giọng nói Công nghệ Acer TrueHarmony,Vỏ nhựa,361.8 x 278.4 x 24.74 - 25.46 mm (W x D x H),2.5 kg,Wi-Fi 6,Bàn phím có đèn nền màu hổ phách,Giải pháp TPM của MSFT Pluton Security Processor Firmware Người dùng BIOS bảo mật mật khẩu giám sát Khe khóa Kensington,720p HD video at 30 fps,Windows 11 Home Single Language,57Whr 4-cell Adapter: 135W AC adapter,Wi-Fi 6E Wireless LAN,Bluetooth 5.3,"1x USB Type-C  2x USB Standard A  1x Cổng HDMI 2.1 hỗ trợ HDCP 1x Giắc cắm tai nghe/loa 3,5 mm, hỗ trợ tai nghe có micrô tích hợp 1x Cổng Ethernet (RJ-45) 1x Giắc cắm DC-in cho bộ đổi nguồn AC"
Gaming,laptop-msi-sword-16-hx-b14vfkg-045vn,Laptop MSI Sword 16 HX B14VFKG-045VN,12000000,30,3,msi,sword,4.7,"Màn hình 16 inch QHD+, tấm nền IPS mang lại trải nghiệm hình ảnh sắc nét và chi tiết. Hiệu suất mạnh mẽ mang đến trải nghiệm tuyệt vời đảm bảo xử lý mọi tác vụ một cách mượt mà và nhanh chóng. Bàn phím có đèn nền RGB, bàn phím số tích hợp, mang lại trải nghiệm gõ phím tuyệt vời. Thiết kế này mang lại sự thoải mái cho người dùng khi mang theo máy ra ngoài.",Xám,2022,Singapore,NVIDIA GeForce RTX 4060 8GB GDDR6 Intel UHD Graphics,"Intel Core i7-14700HX (2.1 GHz - 5.5 GHz / 33MB / 20 nhân, 28 luồng )",16GB,DDR5 5600MHz,"16GB DDR5 5600MHz  2 khe (1 khe 8GB DDR5 + 1 khe 8GB DDR5, hỗ trợ tối đa 96GB)",1TB SSD M.2 NVMe (2 x M.2 NVMe),1TB,240 Hz,Tấm nền IPS,16 inches,,2560 x 1600 pixels (2K),,,359 x 266.4 x 21.8 - 27.7 mm,2.3 kg,Wi-Fi 6,RGB,,HD webcam,Windows 11 Home SEA,"4 cell 65 Wh, pin liền",WiFi 802.11ax (Wifi 6),Bluetooth 5.2,1 x USB Type C / DisplayPort 3 x USB 3.2 Audio combo LAN 1 Gb/s 1 x HDMI
Gaming,laptop-hp-gaming-victus-15-fb1022ax-94f19pa,Laptop HP Gaming Victus 15-FB1022AX 94F19PA,12000000,17,88,hp,victus,3.3,"Sở hữu màn hình 15.6 inch với lớp vỏ đen thời thượng CPU Intel Core R5-7535HS hỗ trợ mình giải quyết nhanh gọn hàng loạt tác vụ mà không lo giật lag Card  RTX 2050 giúp giải quyết được khối lượng công việc nặng RAM 16GB cùng ổ cứng 512 GB SSD ch không gian lưu trữ đủ lớn, lưu trữ tài liệu, hình ảnh,...",Bạc,2021,Nhật Bản,NVIDIA GeForce RTX 2050 4GB GDDR6,"AMD Ryzen 5 7535HS (16MB Cache, up to 4.5 GHz, 6 lõi / 12 luồng)",16GB,DDR5 4800 MHz,16GB DDR5 4800 MHz 2 khe RAM,512 GB PCIe Gen4 NVMe TLC M.2 SSD,512GB,,Tấm nền IPS,15.6 inches,Micro-edgeChống chóiĐộ sáng tối đa 250 nitsĐộ phủ màu 45% NTSC,1920 x 1080 pixels (FullHD),,,35.79 x 25.5 x 2.35 cm,2.29 kg,Wi-Fi 6,,,,Windows 11 Home,"52.5 Wh, 3 Cell",Wi-Fi 6,Bluetooth 5.3,1 X USB Type-C2 X USB Type-A1 X Pin thông minh AC1 X HDMI 2.11 X Jack cắm tai nghe
Gaming,laptop-gigabyte-g5-kf-e3vn313sh,Laptop Gigabyte G5 KF-E3VN313SH,18000000,97,82,gigabyte,g5,3.0,"Sở hữu thiết kế gaming cá tính với lớp vỏ đen sang trọng Chip Intel Core i5-12500H tối ưu tốc độ xử lý các tác vụ từ công việc đến giải trí RAM 16GB DDR4 đem lại khả năng đa tác vụ mượt mà 512GB SSD cho bạn không gian lưu trữ game khổng lồ cùng tốc độ khởi động máy nhanh Card đồ họa RTX 4060 cho hiệu quả xử lý các tác vụ hình ảnh một cách tuyệt vời nhất Hỗ trợ đầy đủ cổng USB Type-A, USB Type-C, RJ45,... thoải mái kết nối với mọi thiết bị ngoại vi",Đen,2022,Nhật Bản,NVIDIA GeForce RTX 4060 8GB GDDR6 2010MHz  Intel Iris Xe Graphics,Intel Core i5-12500H (2.5GHz~4.5GHz),16GB,DDR4 3200MHz,16GB DDR4 3200MHz 2 khe 8GB (Nâng cấp tối đa 64GB),512GB SSD Gen 4 + 1 khe PCIe 3.0,512GB,144Hz,,15.6 inches,,1920 x 1080 pixels (FullHD),2x 2 Watt  Microphone  DTS:X Ultra,,36.0 x 23.8 x 2.27 cm (W x D x H),1.9 kg,Wi-Fi 6,Bàn phím 15 màu,,HD webcam,Windows 11 Home,Lithium-Ion 54Wh,Intel Wi-Fi 6E,Bluetooth v5.2,1x USB 2.0 Type-A  1x USB3.2 Type-A Gen1 2x USB3.2 Type-C Gen2 1x Mini DisplayPort 1.4 1x Công đầu ra HDMI I (HDCP) 1x 2-in-1 Audio Jack 1x Microphone jack 1x RJ-45 LAN 1x DC-in Jack 1x Đầu đọc thẻ MircoSD
Gaming,laptop-msi-prestige-14-ai-studio-c1udxg-058vn,Laptop MSI Prestige 14 AI Studio C1UDXG-058VN,26990000,75,27,msi,prestige,3.8,"Trang bị bộ vi xử lý Intel Core Ultra 7-155H, cung cấp sức mạnh xử lý đáng kể cho các tác vụ đòi hỏi cao và ứng dụng AI. Với card đồ họa NVIDIA GeForce RTX 3050 6GB, laptop này có khả năng xử lý đồ họa tốt, phù hợp cho công việc sáng tạo và chơi game ở mức độ vừa phải. Màn hình 14 inch độ phân giải Full HD+ với tần số quét 144Hz mang lại trải nghiệm hiển thị mượt mà và sắc nét. Bộ nhớ RAM 16GB và ổ cứng SSD PCIe 1TB cung cấp không gian lưu trữ rộng rãi và khả năng đa nhiệm tốt cho người dùng.",Xám,2022,Hàn Quốc,NVIDIA GeForce RTX 3050 6GB,"Intel Core Ultra 7 155H 16 lõi (6 P-cores + 8 E-cores + 2 Low Power E-cores), Max Turbo Frequency 4.8 GHz",16GB,DDR5-5600 2800(5600)MHz,"16GB DDR5-5600 2800(5600)MHz 2  khe (1 x 16GB, Tối đa 32GB)",1TB NVMe SSD PCIe Gen4,1TB,144 Hz,Tấm nền IPS,14 inches,Màn hình chống chóiĐộ phủ màu 100%sRGB,1920 x 1200 pixels (FullHD+),"2x 2W Micrô mảng không gian (3 Mic) Âm thanh độ phân giải cao, Xử lý âm thanh DTS",Vỏ nhựa - nắp lưng kim loại,313.4 x 246.5 x 18.95 mm,1.7 kg,"Bảo mật vân tay, Wi-Fi 7",Bàn phím đơn có đèn nền (Trắng) với phím Copilot,Mô-đun nền tảng tin cậy riêng biệt (dTPM) 2.0 Mô-đun nền tảng tin cậy phần mềm (fTPM) 2.0 Màn trập webcam Khóa Kensington,,Windows 11 Home,4-Cell 90 Whrs,Intel Killer Wi-Fi 7 BE1750,Bluetooth v5.4,1x RJ45 1x Type-C (USB3.2 Gen 2 / DisplayPort/ Power Delivery 3.1) 1x Type-A USB3.2 Gen 2 1x HDMI 2.1 (8K @ 60Hz / 4K @ 120Hz)1x Mic-in/Headphone-out Combo Jack
Gaming,laptop-lenovo-loq-15iax9-83gs001rvn,Laptop Lenovo LOQ 15IAX9 83GS001RVN,20390000,17,52,lenovo,loq,2.4,"Trang bị bộ vi xử lý Intel Core i5-12450HX giúp xử lý tác vụ nhanh chóng và mượt mà Card đồ họa NVIDIA GeForce RTX 3050 cho trải nghiệm gaming mượt mà với mức đồ họa cao Bộ nhớ RAM 12GB DDR5 đảm bảo hiệu suất ổn định và đáp ứng nhu cầu đa nhiệm Ổ cứng SSD 512GB, cho dung lượng lớn và tốc độ truy xuất dữ liệu nhanh chóng Màn hình 15.6 inch FHD cùng tần sốt quét 144Hz hỗ trợ G-SYNC, cho bạn trải nghiệm giây phút chơi game tuyệt vời",Xám,2021,Nhật Bản,"NVIDIA GeForce RTX 3050 6GB GDDR6, Boost Clock 1732MHz, TGP 95W","Intel Core i5-12450HX (8 lõi (4P + 4E) / 12 luồng, P-core up to 4.4GHz, E-core up to 3.1GHz, 12MB)",12GB,1 x 12GB  SO-DIMM DDR5-4800,12GB 1 x 12GB  SO-DIMM DDR5-4800 2 khe DDR5 SO-DIMM (Nâng cấp tối đa 32 GB),512 GB SSD M.2 2242 PCIe 4.0x4 NVMe (1 khe SSD M.2 trống nâng cấp tối đa đến 1TB),512GB,144 Hz,Tấm nền IPS,15.6 inches,Độ sáng 300 nits  Màn hình chống chói Độ phủ màu 100% sRGB G-SYNC,1920 x 1080 pixels (FullHD),"Âm thanh độ phân giải cao (HD)  codec Realtek ALC3287 Loa âm thanh nổi, 2W x2  Nahimic Audio",Vỏ nhựa,359.86 x 258.7 x 21.9-23.9 mm (W x D x H),2.38 kg,Wi-Fi 6,Đèn nền trắng,Firmware TPM 2.0 Enabled,,Windows 11 Home Single Language,60Wh,"Wi-Fi 6, 11ax 2x2",Bluetooth 5.2,"3x USB-A (USB 5Gbps / USB 3.2 Gen 1)  1x USB-C (USB 10Gbps / USB 3.2 Gen 2), với PD 140W và DisplayPort 1.4 1x HDMI 2.1, up to 8K/60Hz 1x Headphone / microphone combo jack (3.5mm) 1x Ethernet (RJ-45) 1x Đầu nối nguồn"
Gaming,laptop-lenovo-loq-15iax9-83gs001svn,Laptop Lenovo LOQ 15IAX9 83GS001SVN,18990000,83,64,lenovo,loq,2.1,"Chip i5 12450HX phù hợp với các tác vụ nặng như PTS, chơi game,... Ram 12GB và ổ cứng SSD 512 mang đến tốc độ xử lí nhanh và khả năng lưu trữ lớn. Màn hình 15.6 inches với độ phân giải Full HD cho hình ảnh sống động, chân thực Tần số quét 144Hz cho bạn những phút giây chuyển cảnh cực mượt mà",Xám,2024,Trung Quốc,NVIDIA GeForce RTX 2050 4GB GDDR6,"Intel Core i5-12450HX (8C/ 12T, up to 4.40GHz, 12MB)",12GB,DDR5-4800,12GB DDR5-4800 2 khe (1 khe RAM 12GB + 1 khe RAM trống hỗ trợ nâng cấp tối đa 32GB),512GB SSD M.2 2242 PCIe,512GB,144Hz,Tấm nền IPS,15.6 inches,Độ sáng tối đa 300 nits Chống chói Độ phủ màu 100% sRGBG-SYNC,1920 x 1080 pixels (FullHD),Loa âm thanh nổi 2 x 2W Tối ưu hóa với Nahimic Audio,Vỏ nhựa,359.86 x 258.7 x 21.9-23.9 mm,2.38 kg,Wi-Fi 6,White Backlit,,,Windows 11 Home,"60 Wh, 3 Cell",Wi-Fi 6 11ax 2x2,5.2,3x USB-A 1x USB-C 1x HDMI 1x Giắc cắm kết hợp tai nghe 1x Ethernet 1x Đầu nối nguồn
Gaming,laptop-gaming-acer-nitro-5-tiger-an515-58-52sp,Laptop Gaming Acer Nitro 5 Tiger AN515 58 52SP,17990000,41,41,acer,nitro,2.0,"Chip Core i5-12500H cùng card rời RTX 3050 cho khả năng chiến các tựa game nặng, chỉnh sửa hình ảnh trên PTS, Render video ngắn mượt mà. Ram 8GB, ổ cứng SSD 512GB mang đến tốc độ xử lý nhanh cùng đa nhiệm mượt mà. Màn hình 15.6 inch độ phân giải Full HD, mang lại chất lượng hiển thị sắc nét. Công nghệ âm thanh DTS X:Ultra Audio, Acer Purified, Acer TrueHarmony - mang lại trải nghiệm giải trí chân thật. Bàn phím được tích hợp đèn - Thoả sức làm việc trong môi trường thiếu sáng",Đen,2023,Đài Loan,NVIDIA® GeForce RTX™ 3050 with 4GB of dedicated GDDR6 VRAM,"Intel® Core™ i5-12500H (upto 4.5 GHz, 18MB), 12 nhân, 16 luồng",8GB,8GB DDR4 3200MHz,"8GB 8GB DDR4 3200MHz  2 khe, tối đa 32GB","512GB PCIe NVMe SED SSD cắm sẵn (nâng cấp tối đa 2TB Gen4, 16 Gb/s, NVMe và 1 TB 2.5-inch 5400 RPM)",512GB,144Hz,Tấm nền IPS,15.6 inches,Acer ComfyView LED-backlit TFT LCD,1920 x 1080 pixels (FullHD),"DTS® X:Ultra Audio, Acer Purified, Acer TrueHarmony",Vỏ nhựa,360.4 x 271.09 x 25.9 mm (WxDxH),2.5kg,Wi-Fi 6,Đèn chuyển màu RGB - 4 vùng,,,Windows 11 Home,"4-cell, 57.5 Wh",Wi-Fi 6 802.11 a/b/g/n+acR2,5.1,"1x USB Type-C (Hỗ trợ: USB 3.2 Gen 2 up to 10 Gbps, DisplayPort over USB-C, Thunderbolt 4, USB charging 5 V; 3 A, DC 20 V; 65 W)  2x USB 3.2 Gen 2  1x USB 3.2 Gen 1  1x Ethernet (RJ-45)  1x HDMI®2.1  1x headphone/speaker jack"
Gaming,laptop-asus-gaming-vivobook-k3605zc-rp564w,Laptop ASUS Gaming VivoBook K3605ZC-RP564W,19390000,55,33,asus,vivobook,0.0,"Trang bị chip Intel Core i5-12500H và card đồ họa NVIDIA GeForce RTX 3050 4GB, chiến mượt các tựa game Esports mức cài đặt đồ họa cao. Màn hình 16 inch WUXGA (1920x1200) với tần số quét 144Hz, cho trải nghiệm gaming mượt mà, hình ảnh sắc nét. Vỏ máy màu đen kết hợp cùng các đường nét thiết kế gaming tạo nên vẻ ngoài năng động, cá tính. Công nghệ tản nhiệt ASUS giúp máy luôn mát mẻ, ổn định hiệu năng trong thời gian dài chơi game. Công nghệ âm thanh mang đến trải nghiệm âm thanh vòm sống động, tăng thêm phần hấp dẫn cho game thủ.",Đen,2024,Hàn Quốc,NVIDIA Geforce RTX 3050 4GB GDDR6,"Intel Core i5-12500H Processor 2.5 GHz (18M Cache, up to 4.5 GHz, 4P+8E lõi)",16GB,DDR4,16GB DDR4  (8GB DDR4 on board + 8GB DDR4 SO-DIMM),512GB M.2 NVMe PCIe 4.0 SSD,512GB,144 Hz,Tấm nền IPS,16 inches,Tỷ lệ 16:10  Độ sáng 300 nits  Màn hình chống chói  Độ phủ màu 45% NTSC  TÜV Rheinland-certified,1920 x 1200 pixels (WUXGA),SonicMaster  Loa tích hợp  Micrô mảng tích hợp  Hỗ trợ của Cortana,Vỏ nhựa,35.86 x 24.91 x 1.89 ~ 1.89 cm,1.80 kg,Wi-Fi 6,Bàn phím Chiclet có đèn nền với phím Num,McAfee Khởi động BIOS Bảo vệ mật khẩu người dùng Mô-đun nền tảng đáng tin cậy (Firmware TPM),,Windows 11 Home,"50WHrs, 3S1P, 3-cell Li-ion",Wi-Fi 6E(802.11ax) (Dual band) 2*2,Bluetooth 5.3,1x USB 3.2 Gen 1 Type-C support power delivery  2x USB 3.2 Gen 1 Type-A  1x HDMI 2.1 TMDS  1x 3.5mm Combo Audio Jack  1x DC-in  SD 4.0 đầu đọc thẻ
Gaming,laptop-acer-gaming-aspire-5-a515-58gm-53pz,Laptop Acer Gaming Aspire 5 A515-58GM-53PZ,15490000,98,73,acer,aspire,0.0,"Trang bị bộ xử lý Intel Core i5-13420H cân mọi tác vụ văn phòng, học tập RAM 8GB DDR4 có thể nâng cấp tối đa lên 32GB, cho bạn thoải mái lướt web mà không lo lag giật Ổ cứng 512GB rộng rãi, hỗ trợ lưu trữ tài liệu, tải game thoải mái Card đồ họa RTX 2050 giúp chỉnh sửa ảnh, video hay chơi game với mức cấu hình cao Màn hình 15.6 inch FHD cho bạn thoải mái làm việc, giải trí với chất lượng ảnh sắc nét, chân thực",Xám,2021,Singapore,NVIDIA GeForce RTX 2050 4GB GDDR6,"Intel Core i5-13420H (3.40 Ghz, Up to 4.60Ghz, 8 lõi / 12 luồng, 12 MB Intel Smart Cache)",8GB,DDR4 3200MHz,8GB DDR4 3200MHz 2 khe (Nâng cấp tối đa 32 GB),"512GB PCIe NVMe Gen4 (2 khe, nâng cấp tối đa 2TB SSD)",512GB,60 Hz,Tấm nền IPS,15.6 inches,Viền mỏng  Màn hình chống chói Acer ComfyView,1920 x 1080 pixels (FullHD),True Harmony  Dolby Audio Premium,Vỏ nhựa,361 x 237 x 17.9 mm (W x D x H),1.7 kg,Wi-Fi 6,LED,,,Windows 11 Home,50Wh Li-ion,Intel Wireless Wi-Fi 6E AX211 2x2 MU-MIMO technology,Bluetooth v5.1,"1 x USB Type-C (USB 3.2 Gen 2, Thunderbolt 4) 2 x USB 3.2 Gen 1 1 x HDMI 2.1 hỗ trợ HDCP 1 x 3.5 mm headphone/speaker jack, tích hợp microphone 1 x Ethernet (RJ-45) 1 x DC-in jack"
Gaming,laptop-acer-gaming-aspire-7-a715-76-53pj,Laptop Acer Gaming Aspire 7 A715-76-53PJ,13990000,8,71,acer,aspire,1.7,"CPU Intel Core i5-12450H dễ dàng xử lý mọi tác vụ làm việc học tập, làm việc thường ngày. RAM 16GB DDR4 cùng ổ cứng dung lượng 512GB PCIe NVMe SSD có tốc độ đọc ghi siêu cao, thời gian mở máy, truy cập tệp, copy tệp,... nhanh chóng. Màn hình 15.6 inch Full HD cho không gian trải nghiệm nội dung tương đối rộng rãi, màu sắc rõ nét. Công nghệ Acer ComfyView bảo vệ đôi mắt của bạn khỏi những tác động tiêu cực từ ánh sáng màn hình.",Đen,2022,Nhật Bản,Intel UHD Graphics,"Intel Core i5-12450H (8 lõi / 12 luồng, 4.4GHz, 12MB)",16GB,DDR4 3200Mhz,"16GB DDR4 3200Mhz  2 khe (2x 8GB, hỗ trợ nâng cấp tối đa 32GB)","512GB PCIe NVMe SSD (Nâng cấp tối đa 1 TB SSD PCIe Gen4, 16 Gb/s, NVMe)",512GB,60 Hz,Tấm nền IPS,15.6 inches,Acer ComfyView,1920 x 1080 pixels (FullHD),,,362.3 x 237.4 x 19.9 mm,2.1 kg,"Wi-Fi 6, Bảo mật vân tay",LED,Mở khóa vân tay,,Windows 11 Home,"3-cell, 50Wh",Wifi 6E,Bluetooth 5.1,1x Ethernet (RJ-45)1x USB Type C3x USB-A1x HDMI 2.01x DC-in jack1x Jack 3.5 mm
Gaming,laptop-asus-gaming-vivobook-k3605zf-rp634w,Laptop ASUS Gaming VivoBook K3605ZF-RP634W,17390000,29,8,asus,vivobook,3.1,"Trang bị CPU Intel Core i5-12500H và card đồ họa NVIDIA GeForce RTX 2050, laptop mang đến trải nghiệm gaming mượt mà trên các tựa game phổ biến. Màn hình 16 inch WUXGA (1920x1200) với tần số quét cao cho hình ảnh hiển thị sắc nét, chống xé hình, giật lag. RAM 16GB DDR4 đảm bảo khả năng chạy đa nhiệm hiệu quả, chuyển đổi giữa các ứng dụng nhanh chóng. Ổ cứng SSD 512GB PCIe NVMe mang đến không gian lưu trữ rộng rãi và tốc độ truy xuất dữ liệu cực nhanh. Thiết kế gaming ấn tượng với lớp vỏ màu đen mạnh mẽ cùng các đường nét thiết kế đậm chất gaming tạo nên diện mạo ấn tượng cho laptop.",Đen,2022,Hàn Quốc,NVIDIA GeForce RTX 2050 4GB GDDR6,"Intel Core i5-12500H 2.5 GHz (18M Cache, up to 4.5 GHz, 4P+8E cores)",16GB,DDR4,16GB DDR4  (8GB DDR4 on board + 8GB DDR4 SO-DIMM),512GB M.2 NVMe PCIe 4.0 SSD,512GB,144 Hz,Tấm nền IPS,16 inches,Độ sáng 300nits Độ phủ màu 45% NTSC Màn hình chống chóiTÜV Rheinland-certified,1920 x 1200 pixels (WUXGA),SonicMaster Loa tích hợp Micrô mảng tích hợp,Vỏ nhựa,35.86 x 24.91 x 1.89 ~ 1.89 cm (W x H x D),1.80 kg,Wi-Fi 6,Bàn phím Chiclet có đèn nền với phím Num,McAfee Khởi động BIOS Bảo vệ mật khẩu người dùng Mô-đun nền tảng đáng tin cậy (Firmware TPM),,Windows 11 Home,"50WHrs, 3S1P, 3-cell Li-ion",Wi-Fi 6E(802.11ax) (Dual band) 2*2,Bluetooth 5.3,1x USB 3.2 Gen 1 Type-C hỗ trợ sạc 2x USB 3.2 Gen 1 Type-A 1x HDMI 2.1 TMDS 1x 3.5mm Combo Audio Jack 1x DC-in SD 4.0 card reader
Gaming,laptop-acer-aspire-7-a715-76g-59mw,Laptop Acer Aspire 7 A715-76G-59MW,15690000,15,42,acer,aspire,4.0,"Chip Intel Core i5 12450H cùng card RTX 2050 4 GB không chỉ mượt mà mọi tác vụ văn phòng, mà còn cho bạn thoả sức chiến các tựa game yêu thích RAM 8 GB được hỗ trợ nâng cấp tối đa 32 GB thoải mái thao tác với nhiều tác vụ, chơi game Ổ cứng SSD 512 GB cho phép lưu trữ nhiều tệp tin, tài liệu vừa tăng tốc độ khởi động hệ thống lên đáng kể Màn hình 15.6 inch Full HD mang đến không gian hiển thị tương đối rộng và rõ nét Tần số quét 144 Hz giúp khung hình chuyển động trơn tru, hỗ trợ game thủ phản ứng nhanh chóng",Đen,2022,Hàn Quốc,"NVIDIA GeForce RTX 2050, 4 GB","Intel Core i5 - 12450H (8 lõi / 12 luồng, 2.00 GHz, Turbo Boost 4.4 GHz, 12 MB)",8GB,DDR4 3200 MHz,"8GB DDR4 3200 MHz 2 khe (1 khe 8 GB + 1 khe rời, nâng cấp tối đa 32 GB)","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",512GB,144 Hz,Tấm nền IPS,15.6 inches,Acer ComfyView,1920 x 1080 pixels (FullHD),Acer Purified Voice  Acer TrueHarmony,Vỏ nhựa,362.3 x 237.4 x 19.9 mm (Dài x Rộng x Dày),2.1 kg,"Wi-Fi 6, Bảo mật vân tay",Đơn sắc,,,Windows 11 Home SL,"3-cell Li-ion, 50 Wh",Wi-Fi 6E (802.11ax),Bluetooth 5.1,"1x USB Type-C (hỗ trợ USB, DisplayPort, Thunderbolt 4)  1x Jack tai nghe 3.5 mm 3x USB 3.2 1x HDMI 1x LAN (RJ45)"
