"label","title","discountPrice","soldQuantity","quantity","brand","series","totalRating","features","color","Năm ra mắt","Xuất xứ","Loại card đồ họa","Loại CPU","Dung lượng RAM","Loại RAM","Mô tả ram","Ổ cứng","Dung lượng ổ cứng","Tần số quét","Chất liệu tấm nền","Kích thước màn hình","Công nghệ màn hình","Độ phân giải màn hình","Công nghệ âm thanh","Chất liệu","Kích thước","Trọng lượng","Tính năng đặc biệt","Loại đèn bàn phím","Bảo mật","Webcam","Hệ điều hành","Pin","Wi-Fi","Bluetooth","Cổng giao tiếp"
"Gaming","Laptop ASUS TUF Gaming A15 FA507NV-LP061W",28990000,51,59,"asus","tuf","3.5","Trang bị CPU AMD Ryzen™ 7 mạnh mẽ cho mọi tác vụ và chơi game AAA cấu hình cao Màn hình full HD, tần số quét 144Hz hỗ trợ G-SYNC hỗ trợ chơi game sống động với tốc độ nhanh Card Geforce RTX 4060 cải thiện hiệu suất xử lý đồ họa và đảm bảo trải nghiệm chơi game tuyệt vời RAM 16GB cùng ổ cứng 1 TB SSD rút ngắn thời gian mở máy, khởi động ứng dụng","Xám","2024","Nhật Bản","NVIDIA® GeForce RTX™ 4060","AMD Ryzen™ 7 7735HS (8 nhân/16 luồng, Bộ nhớ đệm 16MB L3, tăng tốc hiệu năng tối đa lên tới 4.7 GHz)","16GB","DDR5-4800","16GB DDR5-4800 2 khe SO-DIMM (Nâng cấp tối đa 32GB)","1TB PCIe® 4.0 NVMe™ M.2 SSD","1TB","144 Hz","Tấm nền IPS","15.6 inches","Độ sáng 250nits  Độ phủ màu: NTSC 72%, SRGB 62.50%, Adobe 75.35%  Màn hình chống chói  G-Sync","1920 x 1080 pixels (FullHD)","2 loa Công nghệ chống ồn trí tuệ nhân tạo (AI)Dolby AtmosChứng nhận Hi-ResHỗ trợ Microsoft Cortana gần/Far field (gần/vùng xa)","","35.4 x 25.1 x 2.24 ~ 2.49 cm (W x D x H)","2.20 kg","Wi-Fi 6","Bàn phím Chiclet có đèn nền, hỗ trợ 1 vùng màu RGB","Mật khẩu quản trị BIOS và Bảo vệ mật khẩu người dùngKhe an toàn Kensington Security Slot™Module Nền tảng Tin cậy (TPM Firmware)","720P HD camera","Windows 11 Home","90WHrs, 4S1P, 4-cell Li-ion","Wi-Fi 6 (802.11ax) (Dual band) 2*2","Bluetooth 5.3","1x Cổng LAN RJ451x Cổng USB Type C hỗ trợ DisplayPort™1x Cổng USB 3.2 Gen 2 Type-C hỗ trợ DisplayPort™ / sạc điện / G-SYNC2x Cổng USB 3.2 Gen 1 Type-A"
"Sinh viên","Laptop HP 240 G9 9E5W3PT",13990000,60,27,"hp","hp","2.1","Trang bị chip Intel Core i5, RAM 8GB và ổ cứng SSD 512GB PCIe cho khả năng xử lý mượt mà các tác vụ văn phòng, học tập và giải trí cơ bản. Màn hình 14 inch FHD (1920x1080) mang đến trải nghiệm hình ảnh rõ nét, sống động cho công việc và giải trí. Với trọng lượng chỉ từ 1.47kg, HP 240 G9 dễ dàng mang theo bên mình mọi lúc mọi nơi. Máy được cài đặt sẵn Windows 11 bản quyền, mang đến giao diện hiện đại và nhiều tính năng mới mẻ.","Bạc","2022","Trung Quốc","Intel Iris Xe Graphics","Intel Core i5-1235U (up to 4.4 GHz with Intel Turbo Boost Technology,12 MB L3 cache,10 lõi /12 luồng)","8GB","DDR4-3200 MHz RAM (1 x 8 GB)","8GB DDR4-3200 MHz RAM (1 x 8 GB) 1 x 8 GB","512 GB PCIe NVMe SSD","512GB","","Tấm nền IPS","14 inches","Độ sáng 250 nits Độ phủ màu 45% NTSC br>Màn hình chống chóiViền mỏng","1920 x 1080 pixels (FullHD)","Loa âm thanh nổi kép, micrô mảng kép","","32.4 x 22.59 x 1.99 cm","1.47 kg","","","","HP camera 720 HD","Windows 11","3-cell, 41 Wh Li-ion","","","1x USB Type-C  2x USB Type-A  1x AC power 1x HDMI 1.4b 1x Stereo headphone/microphone combo jack 1x RJ-45"
"Sinh viên","Laptop ASUS Vivobook 15X OLED M3504YA-L1332W",15990000,95,32,"asus","vivobook","3.2","Laptop không chỉ mạnh mẽ, đa năng, mà còn có màn hình OLED tuyệt đẹp Bộ vi xử lý AMD Ryzen 7-7730U và card đồ họa AMD Radeon Graphics hỗ trợ học tập, làm việc cho đến giải trí Bộ nhớ RAM 16 GB, ổ cứng SSD 512 GB cho thời gian mở máy, lướt web, mở ứng dụng nhanh chóng Màn hình 15.6 inch cho bạn trải nghiệm hình ảnh sống động, rực rỡ và chi tiết, tỷ lệ tương phản cao và màu sắc chuẩn xác Laptop còn có thiết kế đẹp mắt và bền bỉ và độ bền đạt chuẩn quân đội","Đen","2023","Nhật Bản","AMD Radeon Graphics","AMD Ryzen 7-7730U (2.0GHz, 8 lõi / 16 luồng, 16MB cache, up to 4.5 GHz max boost)","16GB","DDR4","16GB DDR4  2 khe (8 GB DDR4 on board + 8 GB DDR4 SO-DIMM)","512GB M.2 NVMe PCIe 3.0 SSD","512GB","60 Hz","Tấm nền Oled","15.6 inches","Thời gian phản hồi 0.2ms  Độ sáng tối đa 600nits HDR Độ phủ màu 100% DCI-P3 Gamut mapping HDR True Black 600 1.07 tỷ màu Giảm ánh sáng xanh 70%  TÜV Rheinland-certified","1920 x 1080 pixels (FullHD)","SonicMaster  Loa tích hợp Micrô mảng tích hợp","","35.97 x 23.25 x 1.79 ~ 1.79 cm (W x H x D)","1.60 kg","Wi-Fi 6, Màn hình Oled","","McAfee dùng thử miễn phí 30 ngày  McAfee Khởi động BIOS Bảo vệ mật khẩu người dùng Mật khẩu người dùng thiết lập BIOS Mô-đun nền tảng đáng tin cậy (Firmware TPM)","720p HD camera với màn trập camera","Windows 11 Home","50WHrs, 3S1P, 3-cell Li-ion","Wi-Fi 6E (802.11ax) (Dual band) 1*1","Bluetooth 5.3","1x USB 2.0 Type-A  1x USB 3.2 Gen 1 Type-C hỗ trợ sạc 2x USB 3.2 Gen 1 Type-A 1x HDMI 1.4 1x 3.5mm Combo Audio Jack 1x DC-in"
"Gaming","Laptop ASUS TUF Gaming F15 FX507VI-LP088W",36990000,11,11,"asus","tuf","3.4","Màn hình 15.6 inch Full HD với tần số quét 144Hz cho hình ảnh mượt mà và độ phản hồi nhanh, giúp bạn thưởng thức trò chơi một cách chân thực và sống động hơn Card đồ họa RTX4070, bạn sẽ có trải nghiệm chơi game mượt mà và đồ họa chất lượng cao Ram 16 GB và ổ cứng 512 GB hỗ trợ lướt web, lưu trữ rộng rãi Máy có phong cách hiện đại và mạnh mẽ, thích hợp cho người dùng đòi hỏi cả về hiệu suất và thẩm mỹ Hỗ trợ các cổng USB, HDMI và các kết nối không dây như Wi-Fi 6 và Bluetooth 5.1, giúp bạn kết nối với nhiều thiết bị ngoại vi một cách thuận tiện","Xám","2022","Trung Quốc","NVIDIA GeForce RTX 4070 8GB GDDR6  Intel Iris Xe Graphics","Intel Core i7-13620H (2.4 GHz, 24M  Cache, up to 4.9 GHz, 10 lõi: 6 P-cores và 4 E-cores)","16GB","DDR5-4800 SO-DIMM","16GB DDR5-4800 SO-DIMM 2 khe SO-DIMM (2x 8GB, nâng cấp tối đa 32 GB)","512GB PCIe 4.0 NVMe M.2 SSD (1 khe SSD M.2 trống nâng cấp tối đa đến 2TB)","512GB","144 Hz","Tấm nền IPS","15.6 inches","Độ sáng 250nits Độ phủ màu NTSC 72%, SRGB 100%, Adobe 75.35% Màn hình chống chói G-Sync","1920 x 1080 pixels (FullHD)","Công nghệ khử tiếng ồn AI Dolby Atmos Chứng nhận độ phân giải cao Hỗ trợ Microsoft Cortana trường gần/trường xa","","35.4 x 25.1 x 2.24 ~ 2.49 cm (W x D x H)","2.20 kg","Wi-Fi 6","1-Zone RGB  Aura Sync","Bảo vệ mật khẩu quản trị viên BIOS và mật khẩu người dùng Khe bảo mật Kensington Mô-đun nền tảng đáng tin cậy (Firmware TPM)","720P HD camera","Windows 11 Home","90WHrs, 4S1P, 4-cell Li-ion","Wi-Fi 6(802.11ax) (Dual band) 2*2","Bluetooth 5.1","1x RJ45 LAN  1x Thunderbolt 4 (Hỗ trợ DisplayPort) 1x USB 3.2 Gen 2 Type-C support DisplayPort / Sạc / G-SYNC 2x USB 3.2 Gen 1 Type-A 1x HDMI 2.1 FRL 1x 3.5mm Combo Audio Jack"
"Văn phòng","Laptop ASUS VivoBook S 14 OLED S5406MA-PP136W",24990000,82,47,"asus","vivobook","4.5","Tính năng AI tiên tiến giúp bạn tìm kiếm thông tin, trả lời câu hỏi, tạo nội dung và nâng cao hiệu quả công việc. Bàn phím Chiclet với đèn nền RGB 1 vùng cho khả năng tùy chỉnh màu sắc và hiệu ứng ánh sáng. Kết nối mạng nhanh chóng và ổn định với Wi-Fi 6E và kết nối không dây mượt mà với Bluetooth 5.3. Mở khóa máy tính nhanh chóng và an toàn với bảo mật vân tay.","Xanh","2021","Nhật Bản","Intel Arc Graphics","Intel Core Ultra 5 125H 1.2 GHz (18MB Cache, up to 4.5 GHz, 14 lõi, 18 luồng)","16GB","LPDDR5X Onboard","16GB LPDDR5X Onboard","1TB M.2 NVMe PCIe 4.0 SSD","1TB","120 Hz","Tấm nền Oled","14 inches","Độ sáng tối đa 600nits HDRGam màu 100% DCI-P3Tỷ lệ tương phản 1.000.000:1Ánh sáng xanh ít gây hại hơn 70%1.07 tỷ màu","2880 x 1800 pixels","Công nghệ Smart AmpLoa tích hợpMicrô tích hợpMicrô mảng tích hợp, harman/kardon (Chính thống)","Vỏ kim loại","31.05 x 22.19 x 1.39 ~ 1.59 cm (W x H x D)","1.30 kg","Wi-Fi 6, Màn hình Oled","RGB 1 vùng","McAfee 30 days free trial IR webcam với Windows Hello McAfee Thiết lập BIOS mật khẩu người dùng  Mô-đun nền tảng đáng tin cậy (Firmware TPM)","Camera FHD có chức năng IR hỗ trợ Windows HelloVới màn trập riêng tư","Windows 11 Home","75WHrs, 4S1P, 4-cell Li-ion","Wi-Fi 6E(802.11ax) (Dual band) 2*2","Bluetooth 5.3","2x USB 3.2 Gen 1 Type-A2x Thunderbolt 4 (Display / Sạc)1x HDMI 2.1 TMDS1x 3.5mm Combo Audio JackĐầu đọc thẻ Micro SD"
"Gaming","Laptop MSI Gaming Bravo 15 C7VFK-275VN",24490000,56,96,"msi","bravo","2.0","Sở hữu cân nặng 2.25 kg là khá mỏng nhẹ trong dòng laptop gaming. CPU AMD Ryzen R7-7735HS tối ưu hóa hiệu suất, tiết kiệm năng lượng, tản nhiệt xuất sắc hơn, giảm thiểu hiệu quả sự phát ra của nhiệt. Card đồ họa RTX 4060 giúp xử lý tác vụ đồ họa và chơi game một cách mượt mà. Ổ cứng SSD 512GB kết hợp với dung lượng RAM 16GB DDR5 mạnh mẽ hỗ trợ lưu trữ, thao tác cực mướt mà không lo giật lag.","Đen","2021","Hàn Quốc","NVIDIA GeForce RTX 4060 8GB Up to 2250MHz","AMD Ryzen 7-7735HS (3.2 GHz, up to 4.75 GHz, 16 MB)","16GB","DDR5 4800 MHz","16GB DDR5 4800 MHz 2 khe (8GB + 8GB, hỗ trợ nâng cấp lên đến 64GB)","512GB NVMe PCIe Gen 4 SSD (1 khe trống M.2 NVMe)","512GB","144 Hz","Tấm nền IPS","15.6 inches","Màn hình chống chói Độ phủ màu 45% NTSC","1920 x 1080 pixels (FullHD)","2x 2W Speaker","","359 x 259 x 24.9 mm","2.25 kg","Viền màn hình siêu mỏng, Wi-Fi 6","4-Zone RGB","","HD type (30fps@720p)","Windows 11 Home","3 Cell 53.5WHr","Wi-Fi 6E (802.11ax)","Bluetooth	v5.3","1x Type-C (USB3.2 Gen1 / DP)  2x Type-A USB 3.2 Gen1 1x Type-A USB 2.0 1x HDMI 2.1 (8K @ 60Hz) 1x RJ45 1x Mic-in/Headphone-out Combo Jack"
"Gaming","Laptop Gaming Acer Nitro V ANV15-51-75GS",27990000,55,83,"acer","nitro","2.5","Trang bị CPU Intel Core i7-13620H xử lý nhanh chóng mọi tác vụ văn phòng hay tận hưởng các tựa game từ AAA đến game Esport. Bộ nhớ RAM 16 GB DDR5 cho khả năng xử lý đa nhiệm và đa tác vụ của máy càng được tăng tốc tối đa. Card đồ họa RTX 4050 tối ưu hiệu suất và năng lượng, chiến mượt các tựa game AAA với mức đồ họa từ Medium/High trở lên. Tận hưởng các cuộc phiêu lưu, giải trí sống động trên màn hình 15.6 inch FHD, cùng tần số quét chuẩn chiến game 144 Hz.","Đen","2021","Singapore","NVIDIA GeForce RTX 4050 6GB GDDR6 VRAM","Intel Core i7-13620H (10 lõi / 16 luồng, upto 4.90 GHz, 24 MB)","16GB","DDR5 5200 MHz","16GB DDR5 5200 MHz 2 khe (8 GB + 8 GB), Hỗ trợ nâng cấp tối đa 64GB","512GB PCIe NVMe SSD (nâng cấp tối đa 2TB Gen4, 16 Gb/s, NVMe)","512GB","144 Hz","Tấm nền IPS","15.6 inches","Acer ComfyView LED-backlit TFT LCD","1920 x 1080 pixels (FullHD)","","","362.3 x 239.89 x 22.9 mm (W x D x H)","2.1 kg","Wi-Fi 6","Backlit Keyboard","","720P HD","Windows 11 Home","4 cell, 57Wh","Intel Wi-Fi 6 AX201(2*2 ax)","Bluetooth 5","1x USB Type-C  3x USB-A 2x USB 3.2 Gen 1 1x HDMI 2.1  1x 3.5 mm headphone/speaker jack"
"Sinh viên","Laptop ASUS ExpertBook B1 B1502CBA-NJ1261W",9490000,31,95,"asus","expertbook","3.8","Bộ xử lý Intel Core i3-1215U đảm bảo hiệu suất đỉnh cao, đáp ứng mượt mà mọi tác vụ văn phòng và giải trí. RAM 8GB, máy tính duy trì hiệu suất ổn định, và ổ đĩa SSD 256GB cung cấp không gian lưu trữ nhanh chóng và đáng tin cậy. Màn hình FHD 15.6 inch giúp hiển thị hình ảnh sắc nét và rõ ràng, tối ưu cho công việc văn phòng và giải trí. Được trang bị tính năng bảo mật Finger Print và TPM, đảm bảo an toàn thông tin cá nhân và dữ liệu quan trọng của bạn.","Đen","2023","Hàn Quốc","Intel UHD Graphics","Intel Core i3-1215U (1.2 GHz, 10M Cache, up to 4.4 GHz, 6 lõi)","8GB","DDR4 Onboard","8GB DDR4 Onboard","256GB M.2 NVMe PCIe 4.0 SSD","256GB","60 Hz","Tấm nền TN","15.6 inches","Độ sáng 250nits Độ phủ màu 45% NTSC  Màn hình chống chói","1920 x 1080 pixels (FullHD)","Âm thanh của DiracLoa tích hợpMicrô mảng tích hợp","Vỏ nhựa","36.16 x 23.30 x 1.99 ~ 1.99 cm","1.69 Kg","Wi-Fi 6, Bảo mật vân tay","","Cảm biến vân tay tích hợp với TouchpadKensington Nano Security SlotBảo vệ mật khẩu người dùng khởi động BIOSMật khẩu người dùng thiết lập BIOSMáy tính sẵn sàng từ BIOSBảo vệ và bảo mật mật khẩu người dùng HDDMô-đun nền tảng đáng t","720P HD với màn trập camera","Windows 11 Home","42WHrs, 3S1P, 3-cell Li-ion","Wi-Fi 6(802.11ax) (Dual band) 2*2","Bluetooth 5.3","1x USB 2.0 Type-A1x USB 3.2 Gen 1 Type-A1x USB 3.2 Gen 1 Type-C (Hỗ trợ sạc)1x USB 3.2 Gen 2 Type-C (Display / Sạc)1x HDMI 1.41x 3.5mm Combo Audio Jack1x RJ45 Gigabit Ethernet"
"Gaming","Laptop ASUS ROG Strix G16 G614JVR-N4162W",25000000,5,10,"asus","rog",0,"Sở hữu bộ vi xử lý Intel Core i9-14900HX thế hệ mới nhất kết hợp cùng card đồ họa NVIDIA GeForce RTX 4060 8GB, mang đến hiệu năng mạnh mẽ cho mọi tác vụ từ chơi game AAA đến thiết kế đồ họa chuyên nghiệp. Màn hình 16 inch WQXGA (2560x1600) tần số quét 240Hz, mọi chuyển động trong game trở nên cực kỳ mượt mà, sống động và không hề giật lag. Ổ cứng SSD 1TB PCIe cho phép bạn thoải mái lưu trữ game, ứng dụng và dữ liệu cá nhân với tốc độ truy xuất cực nhanh. Vỏ máy màu xám mạnh mẽ cùng hệ thống đèn nền bàn phím RGB per-key cho phép bạn tùy chỉnh theo phong cách riêng.","Xám","2024","Trung Quốc","NVIDIA GeForce RTX 4060 8GB GDDR6, ROG Boost: 2420MHz* at 140WIntel UHD Graphics","Intel Core i9 14900HX 2.2 GHz (36MB Cache, up to 5.8 GHz, 24 lõi, 32 luồng)","32GB","DDR5-5600 SO-DIMM","32GB DDR5-5600 SO-DIMM 2x SO-DIMM","1TB PCIe 4.0 NVMe M.2 SSD (Nâng cấp tối đa 2TB)","1TB","240 Hz","Tấm nền IPS","16 inches","Thời gian phản hồi 3ms Độ sáng 500nitsĐộ phủ màu DCI-P3 100%Màn hình chống chóiG-SyncROG Nebula DisplayROG intelligent coolingDolby Vision HDR","2560 x 1600 (WQXGA)","Công nghệ khử tiếng ồn AI  Dolby Atmos  Chứng nhận Hi-Res (cho tai nghe)  Công nghệ khuếch đại thông minh  Hỗ trợ Microsoft Cortana trường gần/trường xa","","35.4 x 26.4 x 2.26 ~ 3.04 cm (W x D x H)","2.50 kg","Wi-Fi 6","Bàn phím Chiclet có đèn nền RGB trên mỗi phímAura Sync","Bảo vệ mật khẩu quản trị viên BIOS và mật khẩu người dùng  Mô-đun nền tảng đáng tin cậy (Firmware TPM)","720P HD camera","Windows 11 Home","90WHrs, 4S1P, 4-cell Li-ion","Wi-Fi 6E(802.11ax) (Triple band) 2*2 +","Bluetooth 5.3","1x RJ45 LAN   1x Thunderbolt 4 (DisplayPort)  1x USB 3.2 Gen 2 Type-C ( DisplayPort / Sạc / G-SYNC)  2x USB 3.2 Gen 2 Type-A 1x HDMI 2.1 FRL 1x 3.5mm Combo Audio Jac"
"Văn phòng","Laptop Lenovo Yoga Slim 6 14IRH8 83E00008VN",24490000,84,42,"lenovo","yoga",0,"Trọng lượng mỏng nhẹ chỉ 1.35 kg dễ dàng mang theo bất kỳ đâu mà không gây mệt mỏi cho người dùng. CPU Intel Core i7-13700H, cho khả năng xử lý mạnh mẽ,  xử lý mọi tác vụ làm việc, học tập và giải trí mượt mà. Ổ cứng 512GB cho tốc độ đọc, ghi dữ liệu nhanh chóng và khả năng lưu trữ đa dạng ứng dụng và tệp tin. RAM 16 GB giúp máy hoạt động mượt mà và nhanh chóng, đáp ứng mọi nhu cầu của bạn. Màn hình 14 inch WUXGA cung cấp hình ảnh sắc nét, màu sắc chính xác và độ tương phản ấn tượng.","Xám","2023","Đài Loan","Intel Iris Xe Graphics","Intel Core i7-13700H (14 lõi (6P + 8E) / 20 luồng , P-core 2.4 / 5.0GHz, E-core 1.8 / 3.7GHz, 24MB)","16GB","LPDDR5x-5200 Onboard","16GB LPDDR5x-5200 Onboard 1 khe, Ram onboard","512GB SSD M.2 2242 PCIe 4.0x4 NVMe (có thể tháo ra nâng cáp tối đa 1TB)","512GB","60 Hz","Tấm nền Oled","14 inches","Độ sáng 400nitsĐộ phủ màu 100% DCI-P3EyesafeDolby VisionDisplayHDR True Black 500","1920 x 1200 pixels (WUXGA)","High Definition (HD) Audio2W x2 Dolby Atmos","Vỏ kim loại","312 x 221 x 14.9 mm (W x D x H)","1.35 kg","Wi-Fi 6, Nhận diện khuôn mặt","","Firmware TPM 2.0","FHD 1080p với màn trập camera + IR","Windows 11 Home + Office Home & Student 2021","65 Wh","Wi-Fi 6E, 11ax 2x2","Bluetooth 5.1","1x HDMI 2.1, up to 4K/60Hz1x Headphone / microphone combo jack (3.5mm) 1x USB 3.2 Gen 1 (Always On) 2x Thunderbolt 4 / USB4 40Gbps (Truyền dữ liệu, Power Delivery 3.0 và DisplayPort 1.4)"
"Văn phòng","Laptop Lenovo IdeaPad Slim 5 14IMH9 83DA006TVN",21990000,88,1,"lenovo","ideapad","3.0","Mang đến hiệu suất mạnh mẽ với bộ vi xử lý U5-125H, lý tưởng cho các tác vụ đa nhiệm. Thiết kế mỏng nhẹ và màu xám thanh lịch giúp sản phẩm dễ dàng mang theo bên mình. Màn hình 14.0 inch WUXGA OLED cho hình ảnh sắc nét và màu sắc sống động, phù hợp cho việc xem phim và làm việc. Với 16GB RAM và 1TB PCIe SSD, laptop cho phép lưu trữ lớn và khởi động nhanh chóng. Hệ điều hành Windows 11 mới nhất mang lại trải nghiệm người dùng mượt mà và đầy đủ tính năng.","Xám","2021","Nhật Bản","Intel Arc Graphics","Intel Core Ultra 5 125H, 14C (4P + 8E + 2LPE) / 18T, Max Turbo up to 4.5GHz, 18MB","16GB","LPDDR5x-7467 Onboard","16GB LPDDR5x-7467 Onboard","1TB SSD M.2 2242 PCIe 4.0x4 NVMe (One drive, up to 1TB M.2 2242 SSD)","1TB","","Tấm nền Oled","14 inches","Độ sáng 400nits Glossy Độ phủ màu 100% DCI-P3 DisplayHDR True Black 500","1920 x 1200 pixels (WUXGA)","Âm thanh độ nét cao (HD) Loa stereo, 2W x2 Dolby Audio","Vỏ kim loại","312 x 221 x 16.9 mm (W x D x H)","1.48 kg","Wi-Fi 6, Nhận diện khuôn mặt, Màn hình Oled","","Firmware TPM 2.0 Enabled","FHD 1080p + IR với Màn trập riêng tư, Cảm biến ToF","Windows 11 Home Single Language, English","57Wh","Wi-Fi 6, 802.11ax 2x2","Bluetooth 5.2","1x USB-A Gen 1  1x USB-A Gen 1, Always On 2x USB-C Gen 1, với USB PD 3.0 và DisplayPort 1.4 1x HDMI 1.4b 1x Headphone / microphone combo jack (3.5mm) 1x Đầu đọc thẻ nhớ microSD"
"Gaming","Laptop MSI Prestige 14 AI Studio C1VEG-056VN",32990000,42,94,"msi","prestige",0,"Trang bị bộ vi xử lý Intel Core Ultra 7-155H, cung cấp sức mạnh xử lý vượt trội cho các tác vụ phức tạp và ứng dụng AI. Card đồ họa NVIDIA GeForce RTX 4050 6GB hỗ trợ tốt cho công việc sáng tạo nội dung, render 3D và chơi game ở mức đồ họa cao. Với màn hình 14 inch độ phân giải 2.8K cung cấp trải nghiệm hình ảnh sắc nét và chi tiết, lý tưởng cho các công việc đòi hỏi độ chính xác về màu sắc và hình ảnh. Bộ nhớ RAM 32GB và ổ cứng SSD PCIe 1TB không chỉ đa nhiệm mượt mà mà còn cung cấp không gian lưu trữ rộng rãi cho dữ liệu và các ứng dụng nặng.","Xám","2024","Đài Loan","NVIDIA GeForce RTX 4050 6GB GDDR6Intel Arc graphics","Intel Core Ultra 7 155H 16 lõi (6 P-cores + 8 E-cores + 2 Low Power E-cores), Max Turbo Frequency 4.8 GHz","32GB","DDR5-5600","32GB DDR5-5600 2 khe (2 x 16GB, tối đa 32GB)","1TB NVMe SSD PCIe Gen4","1TB","60 Hz","Tấm nền IPS","14 inches","Màn hình chống chóiĐộ phủ màu 100% DCI-P3Độ sáng 400 nits","2880 x 1800 pixels","2x 2W Micrô mảng không gian (3 Mic) Âm thanh độ phân giải cao, Xử lý âm thanh DTS","Vỏ nhựa - nắp lưng kim loại","313.4 x 246.5 x 18.95 mm","1.7 kg","Bảo mật vân tay, Wi-Fi 7","Bàn phím đơn có đèn nền (Trắng) với phím Copilot","Mô-đun nền tảng tin cậy riêng biệt (dTPM) 2.0 Mô-đun nền tảng tin cậy phần mềm (fTPM) 2.0 Màn trập webcam Khóa Kensington","IR FHD type (30fps@1080p) với HDRGiảm nhiễu 3D+ (3DNR+)","Windows 11 Home","4-Cell 90 Whrs","Intel Killer Wi-Fi 7 BE1750","Bluetooth v5.4","1x HDMI 2.1 (8K @ 60Hz / 4K @ 120Hz) 1x Mic-in/Headphone-out Combo Jack 1x Type-A USB3.2 Gen2 1x Type-C (USB3.2 Gen2 / DisplayPort/ Power Delivery 3.1) 1x RJ45"
"Văn phòng","Laptop Dell Inspiron 14 5440 71034770",28990000,81,58,"dell","inspiron","4.0","Máy được trang bị vi xử lý Intel Core 7-150U, mang đến hiệu suất mạnh mẽ cho các tác vụ đa nhiệm và đồ họa. Với 16GB RAM và ổ cứng SSD 1TB, người dùng có không gian lưu trữ rộng rãi và tốc độ truy xuất dữ liệu nhanh chóng. Card đồ họa rời 2GB MX570A giúp nâng cao khả năng xử lý hình ảnh, lý tưởng cho các ứng dụng đồ họa và game nhẹ. Màn hình 14.0 inch với độ phân giải 2.2K cung cấp hình ảnh sắc nét và màu sắc sống động cho trải nghiệm giải trí tuyệt vời.","Xanh","2023","Đài Loan","MX570A 2GB GDDR6","Core 7-150U","16GB","DDR5 5200MHz","16GB DDR5 5200MHz 2x 8GB","1TB","1TB","60 Hz","Tấm nền WVA","14 inches","","2240 x 1400 pixels","2x 2W, Realtek ALC3254","Vỏ nhựa","31.4 x 22.6 x 1.7 cm (Dài x Rộng x Dày)","1.63 kg","Wi-Fi 6, Bảo mật vân tay","Bàn phím có đèn nền Carbon Black English","","FHD+ RGB webcam","Windows 11 Home + OFFICE","Pin liền","Wi-Fi 11ax","Bluetooth v5.3","2x USB 3.2 Gen 1 (5 Gbps) ports 1x USB 3.2 Gen 2 (10 Gbps) Type-C (Sạc / DisplayPort 1.4)"
"Văn phòng","Laptop Dell Latitude 5550 71047019",31490000,47,27,"dell","latitude","4.4","Trang bị vi xử lý Intel Core U7-165U, cung cấp hiệu suất mạnh mẽ cho các tác vụ đa nhiệm và công việc văn phòng. Với 16GB RAM và ổ cứng 512GB PCIe, máy cho phép người dùng lưu trữ nhiều dữ liệu và chạy mượt mà các ứng dụng yêu cầu cao. Màn hình 15.6 inch Full HD mang đến hình ảnh sắc nét và màu sắc trung thực, lý tưởng cho cả công việc và giải trí. Thiết kế màu xám hiện đại, kiểu dáng thanh lịch, phù hợp cho môi trường làm việc chuyên nghiệp và dễ dàng di chuyển.","Xám","2022","Singapore","Intel UHD Graphics","Intel Core Ultra 7 165U (12 MB cache, 12 lõi, 14 luồng, up to 4.9 GHz Turbo)","16GB","DDR5 5600 MT/s","16GB DDR5 5600 MT/s 2 x 8 GB (Hỗ trợ nâng cấp tối đa 64GB)","512 GB, M.2 2230, TLC, Gen 4 PCIe NVMe, SSD (2 thanh ổ cứng, hỗ trợ nâng cấp, tối đa 2TB)","512GB","60 Hz","Tấm nền IPS","15.6 inches","Độ sáng 250 nitĐộ phủ màu 45% NTSC","1920 x 1080 pixels (FullHD)","","Vỏ nhựa","20.80 x 35.7 x 23.3 mm","1.62 kg","Wi-Fi 6, Bảo mật vân tay, Nhận diện khuôn mặt","Backlit LED","Bảo mật vân tay, Nhận diện khuân mặt","FHD + IR Cam","Windows 11 Home, Single Language English","3-cell, 54 Wh","Intel Wi-Fi 6E AX211, 2x2, 802.11ax","Bluetooth 5.3","1x RJ45 1x USB 3.2 Gen 1 1x USB 3.2 Gen 1 hỗ trợ PowerShare 2x Thunderbolt 4 (Sạc và DisplayPort) 1x Cổng âm thanh Universal 1x HDMI 2.1 TMDS 1x Khe cắm thẻ nhớ microSD"
