label,slug,title,discountPrice,soldQuantity,quantity,brand,series,totalRating,features,color,Năm ra mắt,Xuất xứ,Loại card đồ họa,Loại CPU,Dung lượng RAM,Loại RAM,Mô tả ram,Ổ cứng,Dung lượng ổ cứng,Tần số quét,Chất liệu tấm nền,Kích thước màn hình,Công nghệ màn hình,Độ phân giải màn hình,Công nghệ âm thanh,Chất liệu,Kích thước,Trọng lượng,Tính năng đặc biệt,Loại đèn bàn phím,Bảo mật,Webcam,Hệ điều hành,Pin,Wi-Fi,Bluetooth,Cổng giao tiếp
Sinh viên,laptop-hp-15-250-g8-85c69ea,Laptop HP 15 250 G8 85C69EA,10990000,5,27,hp,hp,2.7,"Sở hữu thiết kế thanh lịch, lớp vỏ tone màu xám sang trọng Màn hình 15.6 inch Full HD cho hình ảnh sắc nét, màu sắc sống động CPU Intel Core i5 1135G7 cho tốc độ xử lý mọi dữ liệu nhanh chóng, tiết kiệm pin hiệu quả 8GB RAM hỗ trợ mở cùng lúc trên chục tabs mà không lo giật, lag Ổ cứng 256GB đủ dùng, giúp lưu trữ file, tài liệu, hình ảnh dễ dàng",Xám,2021,Singapore,Intel Iris Xe Graphics,"Intel Core i5-1135G7 (2.4 GHz, up to 4.2 GHz, 4 lõi,  8 MB cache)",8GB,DDR4,8GB DDR4,256GB PCIE,256GB,60 Hz,Tấm nền IPS,15.6 inches,Màn hình chống chói  Độ sáng 250nits Độ phủ màu 45% NTSC,1920 x 1080 pixels (FullHD),,,35.79 x 24.21 x 1.98 cm (W x D x H),1.74 kg,Wi-Fi 6,,Mô-đun nền tảng đáng tin cậy (TPM),HP TrueVision HD Camera,Free OS,"3-cell, 41 Wh Li-ion",Wi-Fi 6,Bluetooth 5,2x USB 3.2 Gen 1 Type-A  1x USB 3.2 Gen 1 Type-C (chỉ truyền dữ liệu) 1x HDMI v1.4b 1x RJ-45 1x AC Power 1x Headphone/microphone combo jack
Sinh viên,laptop-dell-latitude-e6420,Laptop Dell Latitude E6420,25000000,2,11,dell,latitude,3.1,"Laptop hoc tập văn phòng với CPU Intel Core i5 2520M cân mọi tác vụ văn phòng Card đồ họa ‎Intel HD Graphics 3000 cho phép xử lý hình ảnh cơ bản RAM 4GB mượt mà, hỗ trợ duyệt web nhanh chóng Ổ cứng 512 GB HDD cho không gian lưu trữ rộng rãi Màn hình 14 inch cùng độ phân giải HD cho không gian làm việc, giải trí thoải mái",Đen,2022,Nhật Bản,‎Intel HD Graphics 3000,"Intel Core i5 2520M, 2.5GHz",4GB,DDR3 SDRAM ‎2.5 GHz,4GB DDR3 SDRAM ‎2.5 GHz,512 GB HDD,512GB,,,14 inches,,,,,35.31 x 24.13 x 3.30 cm,2.09 kg,,,,,Windows 10,,802.11bgn,,3x USB 2.0
Sinh viên,laptop-dell-latitude-e7450,Laptop Dell Latitude E7450,25000000,55,13,dell,latitude,1.2,"Sở hữu kích thước nhỏ gọn với trọng lượng máy chỉ 1.55kg CPU Intel Core i3-5010U cân mọi tác vụ học tập, văn phòng RAM 4GB hỗ trợ làm việc, lướt web mà không lo lag, giật Ổ cứng 120 GB SSD cho không gian lưu trữ đủ dùng Màn hình 14 inch độ phân giải HD sắc nét",Đen,2023,Đài Loan,Intel HD Graphics 5500,"Intel Core i3-5010U, 3 MB",4GB,DDR3L SDRAM (1600 MHz),4GB DDR3L SDRAM (1600 MHz) 2 khe cắm SODIMM (Nâng cấp tối đa 16 GB),SSD 120GB,SSDGB,,,14 inches,Tần số quét 60Hz,1366 x 768 pixels,"Âm thanh độ nét cao, 2x 2 W",,18.8 x 337 x 231.5 mm (Cao x Rộng x Sâu),1.55 kg,,,,HD camera,,3 cell,,Bluetooth 4.0,"1x Jack headphone  1x HDMI, mDP 1x RJ-45 3x USB 3.0 1x Docking  1x uSIM"
Sinh viên,laptop-hp-pavilion-15-eg2081tu-7c0q4pa,Laptop HP Pavilion 15-EG2081TU 7C0Q4PA,19000000,12,16,hp,pavilion,0.0,"Hiệu năng ổn định, mượt mà với các tác vụ văn phòng, học tập hay chơi game nhẹ sẽ không làm khó được chip Intel Core i5-1240P  Không dừng lại ở việc dung lượng lớn mà còn giúp tốc độ truyền tải nhanh hơn, tiết kiệm điện và kéo dài thời gian sử dụng pin lâu hơn với RAM 16GB DDR4 3200MHz  Tối ưu lưu trữ và xuất dữ liệu nhanh hơn chỉ trong một nốt nhạc với ở cứng SSD 512GB Kết nối không giới hạn, trò chuyện qua video call trên camera HP Wide Vision 720p HD",Bạc,2024,Nhật Bản,Intel Iris Xe Graphics,"Intel Core i5-1240P (up to 4.40GHz, 12MB)",16GB,DDR4 3200MHz,16GB DDR4 3200MHz  2 khe,512GB PCIe NVMe M.2 SSD,512GB,,Tấm nền IPS,15.6 inches,"IPS, micro-edge, BrightView, 250 nits, 45% NTSC",1920 x 1080 pixels (FullHD),2 loa,,36.02 x 23.4 x 1.79 cm,1.74 kg,"Viền màn hình siêu mỏng, Wi-Fi 6",,,HP Wide Vision 720p HD camera,Windows 11 Home,"3-cell, 41 Wh Li-ion",Wi-Fi 6 MediaTek MT7921 (2x2),v5.2,1 x HDMI 2.11 x headphone/microphone combo1 x Type-C tốc độ truyền dữ liệu 10Gbps2 x Type-A tốc độ truyền dữ liệu 5Gbps
Sinh viên,laptop-msi-modern-14-c13m-611vn,Laptop MSI Modern 14 C13M-611VN,12000000,77,70,msi,modern,4.0,"Sở hữu thiết kế cực mỏng nhẹ với trọng lượng chỉ 1.4kg Màn hình 14 inch Full HD cùng tấm nền IPS cho chất lượng hình ảnh sắc nét CPU Intel Core i5-1335U cân mọi tác vụ học tập, văn phòng RAM lên đến 16GB giúp mở nhiều tabs Chrome cực nhanh mà không lo lag, giật Không gian lưu trữ thoải mái với 512GB SSD",Bạc,2024,Trung Quốc,Intel Iris Xe Graphics,"Intel Core i5-1335U (Up to 4.6GHz, 10 lõi / 12 luồng)",16GB,DDR4 3200MHz Onboard,16GB DDR4 3200MHz Onboard,512GB SSD M.2 PCIe NVMe Gen3 x4,512GB,,Tấm nền IPS,14 inches,,1920 x 1080 pixels (FullHD),,,319.9 x 223 x 19.35 mm,1.4 kg,Wi-Fi 6,Đèn nền trắng,,HD Camera (30FPS 720P),Windows 11 Home,39Wh,Wi-Fi 6 802.11 ax,Bluetooth 5.2,1x USB 3.2 Gen2 Type-A  2x USB 2.0 1x USB Type-C (tích hợp Display Port) 1x HDMI (4K 60Hz) 1x Đầu đọc thẻ MicroSD 1x Mic-in/ Headphone-out combo jack
Sinh viên,laptop-acer-swift-3-sf314-512-56qn-nx-k0fsv-002,Laptop Acer Swift 3 SF314-512-56QN NX.K0FSV.002,12000000,35,80,acer,swift,0.0,"Thiết kế với trọng lượng nhẹ 1.25 kg dễ dàng mang theo mọi nơi CPU Intel Core i5-1240P mạnh mẽ cân mọi tác vụ làm việc, học tập RAM 16GB đa nhiệm hỗ trợ mở hàng chục tabs web cùng lúc không lo lag, giật Ổ cứng 512GB SSD rộng rãi giúp lưu trữ file, tài liệu thoải mái Trang bị các kết nối như: USB 3.2 Type-A, HDMI và ThunderBolt 4 giúp sao lưu, truyền tải dữ liệu tốc độ cao",Bạc,2023,Trung Quốc,Intel Iris Xe Graphics,"Intel Core i5-1240P (3.3GHz~ 4.4GHz, 12 lõi / 16 luồng)",16GB,LPDDR4X Onboard,16GB LPDDR4X Onboard,512GB SSD M.2 PCIe,512GB,60 Hz,Tấm nền IPS,14 inches,LED BacklitAcer ComfyView,2560 x 1440 pixels (2K),2W x 2Acer TrueHarmonyDTS Audio,,321 x 210.8 x 15.9 mm,1.25 kg,"Wi-Fi 6, Bảo mật vân tay",Đơn sắc - Màu trắng,,Full HD Webcam,Windows 11 Home,"3-cell Li-ion, 56Wh",Intel Wireless Wi-Fi 6E (802.11ax),Bluetooth v5.2,2x USB 3.2 Gen1 Type-A 2x Thunder Bolt 4 1x HDMI 2.0 1x Mic-in/ Headphone-out combo jack 1x DC-inLAN Gigabit
Sinh viên,laptop-asus-expertbook-b1-b1502cva-nj0149w,Laptop ASUS ExpertBook B1 B1502CVA-NJ0149W,12000000,17,73,asus,expertbook,0.0,"Máy tính này được trang bị bộ vi xử lý Intel Core i3-1315U đảm bảo hiệu suất xuất sắc trong việc thực hiện nhiều loại tác vụ. Với sự hỗ trợ của 8GB RAM và ổ đĩa SSD có dung lượng 512GB, máy này cung cấp tốc độ và hiệu suất làm việc mượt mà. Màn hình 15.6 inch, độ phân giải Full HD, đem lại trải nghiệm xem phim, lướt web và chỉnh sửa ảnh cơ bản với hình ảnh rõ nét và chất lượng cao. Cấu trúc vỏ máy được thiết kế chắc chắn, mang lại vẻ đẹp sang trọng cùng độ bền cao.",Đen,2023,Đài Loan,Intel UHD Graphics,"Intel Core i3-1315U (1.2 GHz, 10M Cache, up to 4.5 GHz, 6 lõi)",8GB,DDR4 Onboard,8GB DDR4 Onboard,512GB M.2 2280 NVMe PCIe 4.0 SSD,512GB,60 Hz,Tấm nền TN,15.6 inches,Độ sáng 250 nits  Độ phủ màu NTSC: 45% Màn hình chống chóiTỷ lệ tương phản 500:1Góc nhìn: 90/65 Thời gian phản hồi:  20/10 ms 16:9,1920 x 1080 pixels (FullHD),Âm thanh Dirac Loa tích hợp Micrô mảng tích hợp,Vỏ nhựa,36.16 x 23.30 x 1.99 cm (W x H x D),1.69 kg,"Wi-Fi 6, Bảo mật vân tay",,Cảm biến vân tay tích hợp Touchpad Khe bảo mật Kensington Nano Khởi động BIOS Bảo vệ mật khẩu người dùng Mật khẩu người dùng thiết lập BIOS Máy tính đã sẵn sàng từ BIOS Bảo vệ và bảo mật mật khẩu người dùng HDD Mô-đun nền tảng đáng,720p HD với màn trập camera,Windows 11 Home,"42WHrs, 3S1P, 3-cell Li-ion",Wi-Fi 6 (802.11ax) (Dual band) 2*2,Bluetooth 5.2,1x USB 2.0 Loại A 1x USB 3.2 Gen 1 Loại A 1x USB 3.2 Gen 1 Type-C 1x USB 3.2 Gen 2 Type-C h 1x HDMI 1.4 1x Giắc âm thanh 1x RJ45 Gigabit Ethernet
Sinh viên,laptop-asus-zenbook-14-oled-um3402ya-km405w,Laptop ASUS Zenbook 14 OLED UM3402YA-KM405W,20000000,19,30,asus,zenbook,1.2,"CPU AMD Ryzen 5 7530U xử lý nhanh chóng mọi tác vụ học tập, văn phòng. Màn hình 14 inch OLED 2.8K cho màu sắc hiển thị rực rỡ, chân thực cùng công nghệ lọc ánh sáng xanh lên đến 70%. Đồ họa AMD Radeon Graphics dễ dàng chỉnh sửa hình ảnh cơ bản hay chơi các tựa game nhẹ. Bộ nhớ RAM 16GB LPDDR4X chạy nhiều ứng dụng cùng lúc mà không lo lag giật. Ổ cứng SSD 512GB cho tốc độc truy cập dữ liệu nhanh chóng. Lớp vỏ được làm từ kim loại cao cấp, khối lượng gọn nhẹ chỉ 1.39 kg.",Đen,2021,Đài Loan,AMD Radeon Graphics,"AMD Ryzen 5 7530U (2.0GHz, 6 lõi / 12 luồng, 16MB cache, up to 4.5 GHz max boost)",16GB,LPDDR4X Onboard,16GB LPDDR4X Onboard,512GB M.2 NVMe PCIe 3.0 SSD,512GB,90 Hz,Tấm nền Oled,14 inches,Thời gian phản hồi 0.2ms  Độ sáng tối đa  400 nit HDR Độ phủ màu 100% DCI-P3 Display HDR True Black 600 1 tỉ màu PANTONE Validated Glossy display Giảm ánh sáng xanh 70% SGS Eye Care Display,2880 x 1800 pixels,Công nghệ khuếch đại thông minhLoa tích hợpMicrô mảng tích hợpHarman/kardon (Premium),Vỏ kim loại,31.36 x 22.06 x 1.69 ~ 1.69 cm (W x H x D),1.35 kg,"Wi-Fi 6, Bảo mật vân tay, Màn hình Oled",Bàn phím có đèn nền,Cảm biến vân tay tích hợp với Power Key McAfee LiveSafe Mô-đun nền tảng đáng tin cậy (TPM),1080p FHD camera,Windows 11 Home,"75WHrs, 2S2P, 4-cell Li-ion",Wi-Fi 6E(802.11ax) (Dual band) 2*2,Bluetooth® 5,1x USB 3.2 Gen 2 Type-A2x USB 3.2 Gen 2 Type-C (Hỗ trợ hiển thị / sạc)1x HDMI 2.1 TMDS1x 3.5mm Combo Audio JackĐầu đọc thẻ Micro SD
Sinh viên,laptop-asus-e210ka-gj073w,Laptop ASUS E210KA-GJ073W,18000000,47,17,asus,e210ka-gj073w,2.1,"Sở hữu thiết kế cực nhỏ gọn và mỏng nhẹ với trọng lượng chỉ 1.05 kg Bộ vi xử lý Intel Celeron N4500 hỗ trợ làm việc nhanh chóng trên các ứng dụng văn phòng 4GB RAM cùng 128GB bộ nhớ trong eMMC cực nhanh hỗ trợ lưu trữ đủ dùng Màn hình 11.6 inch cùng độ phân giải HD đáp ứng nhu cầu làm việc, giải trí Máy trang bị đầy đủ cổng kết nối, hỗ trợ truyền tải dữ liệu nhanh chóng",Xanh,2024,Singapore,Intel UHD Graphics,"Intel Celeron N4500 1.1 GHz (4M Cache, up to 2.8 GHz, 2 lõi)",4GB,DDR4 Onboard,4GB DDR4 Onboard,128 GB eMMC,128GB,60Hz,,11.6 inches,"Độ sáng 200nits Độ phủ màu 45% NTSC  Màn hình chống chói, 16:9",1366 x 768 pixels,SonicMaster Loa tích hợp Micro tích hợp sẵn,Vỏ nhựa,27.90 x 19.10 x 1.69 ~ 1.69 cm (W x H x D),1.05 kg,,,BIOS Booting bảo vệ mật khẩu người dùng Mô-đun nền tảng đáng tin cậy (Firmware TPM) BIOS setup user password,VGA camera,Windows 11 Home,"38WHrs, 2S1P, 2-cell Li-ion",Wi-Fi 5 (802.11ac) (Dual band) 2*2,Bluetooth 4.2,1x USB 2.0 Type-A 1x USB 3.2 Gen 1 Type-A 1x USB 3.2 Gen 1 Type-C 1x HDMI 1.4 1x 3.5mm Combo Audio Jack 1x DC-in
Sinh viên,laptop-dell-latitude-e7470,Laptop Dell Latitude E7470,14000000,56,60,dell,latitude,1.5,"Thiết kế thanh lịch với các góc bo nhẹ, mềm mại Màn hình 14 inch cùng độ phân giải Full HD cho hình ảnh chân thực, sắc nét CPU Intel Core i5-6300U cân mọi tác vụ văn phòng cho đến học tập RAM 8GB đa nhiệm hỗ trợ mở nhiều tab duyệt web cùng lúc Ổ cứng 256GB cho không gian lưu trữ đủ dùng khi sao lưu các file làm việc, dữ liệu học tập Hỗ trợ đa dạng cổng kết nối: HDMI, USB 3.0, Mini DisplayPort,...",Đen,2021,Đài Loan,Intel HD Graphics 520,"Intel Core i5-6300U (2.4GHz, up to 3 GHz, 3M Cache)",8GB,DDR4 2133MHz,8GB DDR4 2133MHz,256GB M.2 PCIe NVMe ổ đĩa thể rắn (M.2 SSD),256GB,,,14 inches,,1920 x 1080 pixels (FullHD),,,19.4 x 334.9 x 232 mm (Cao x Rộng x Sâu),1.42kg,,Có,,HD Webcam,Windows 10 Pro,4 cell 52Whr,,,1x HDMI  1x Đầu đọc thẻ SD 4 trong 1 3x USB 3.0 1x Mini DisplayPort
Sinh viên,laptop-dell-inspiron-15-3520-d5n53,Laptop Dell Inspiron 15 3520 D5N53,18000000,20,76,dell,inspiron,0.0,"CPU Intel Core i3 1115G4 và card Intel UHD Graphics yên tâm vận hành các tác vụ học tập, văn phòng hay giải trí dễ dàng. RAM 8 GB DDR4 cho phép bạn chạy đồng thời nhiều chương trình mà không gặp trở ngại. Ổ cứng SSD 256 GB sẽ cung cấp không gian lưu trữ vừa đủ cho nhiều tập tin, hình ảnh, video và tài liệu quan trọng. Màn hình 15.6 inch Full HD cho bạn độ nét cao và hình ảnh sắc nét.",Đen,2022,Singapore,Intel UHD Graphics,"Intel Core i3-1115G4 (6 MB cache, 2 lõi / 4 luồng, 3.00 GHz to 4.10 GHz, 15 W)",8GB,DDR4,8GB DDR4,"256 GB, M.2 2230, PCIe NVMe Gen3 x4, SSD",256GB,,,15.6 inches,"Màn hình chống chói  Độ phủ màu 45% NTSC  Độ sáng 220 nits  AG, Flat",1920 x 1080 pixels (FullHD),"Loa âm thanh nổi, 2 W x 2 = 4 W",,235.56 x 358.50 x 16.96 - 21.07 mm (Dài x Rộng x Dày),1.65 kg,,,,720p at 30 fps HD camera,Windows 11 Home,"3-cell, 41 Wh lithium-polymer",,,1x USB 3.2 Gen 1  2x USB 3.2 Gen 1  1x USB 2.0  1x Power Jack 1x headset (headphone and microphone combo)  1x HDMI 1.4
Sinh viên,laptop-vaio-fe-14-vwnc51427-rg,Laptop Vaio FE 14 VWNC51427-RG,14000000,69,0,vaio,fe,4.4,"Sở hữu thiết kế thời thượng với lớp vỏ hồng cá tính CPU Intel Core i5-1235U mạnh mẽ cân mọi tác vụ học tập, văn phòng RAM 8GB chuẩn DDR4 hỗ trợ duyệt web nhanh chóng mà không lo lag, giật Ổ cứng 512 GB rộng rãi giúp lưu trữ nhiều tệp, tài liệu Màn hình 14.1 inch Full HD hỗ trợ hiển thị sắc nét, màu sắc chân thực",Hồng,2024,Singapore,Intel Iris Xe Graphics,"Intel Core i5 - 1235U Gen 12 (up to 4.4 GHz, 12 MB)",8GB,DDR4,8GB DDR4,512 GB,512GB,,Tấm nền IPS,14.1 inches,,1920 x 1080 pixels (FullHD),,,,,"Wi-Fi 6, Bảo mật vân tay",,,2 MP,Windows 11 Home,55 Wh,Wi-Fi 6 (802.11ax),,1x RJ45 (Gigabit) 1x HDMI 2x USB Type-A (USB 3.1 / USB 3.2 Gen 1) 1x USB Type-A (USB 2.0) 1 x USB-C (Không xác định)
Sinh viên,laptop-acer-aspire-3-spin-14-a3sp14-31pt-387z,Laptop Acer Aspire 3 Spin A3SP14-31PT-387Z,9490000,61,47,acer,aspire,4.7,"Thiết kế 2-trong-1 linh hoạt, kết hợp giữa laptop và máy tính bảng với màn hình cảm ứng xoay 360 độ. Màn hình 14 inch Full HD+ cung cấp hình ảnh sắc nét và góc nhìn rộng, phù hợp cho cả công việc và giải trí. Bộ vi xử lý Intel Core i3-N305 thế hệ mới đảm bảo hiệu suất ổn định cho các tác vụ hàng ngày và đa nhiệm nhẹ. Với 8GB RAM và ổ cứng SSD 512GB, máy cho phép khởi động nhanh, mở ứng dụng mượt mà và lưu trữ dữ liệu đủ dùng. Thiết kế màu xám trang nhã kết hợp với khung máy mỏng nhẹ, giúp dễ dàng mang theo khi di chuyển.",Xám,2024,Singapore,Intel UHD Graphics,Intel Core i3-N305,8GB,LPDDR5,"8GB LPDDR5 1 khe Onboard, Không nâng cấp","512GB PCIe NVMe SSD PCIe Gen3 8 Gb/s up to 2 lanes, NVMe",512GB,60 Hz,Tấm nền IPS,14 inches,Màn hình LCD TFT có đèn nền LED Acer ComfyView Độ sáng 250nits Độ phủ màu 45% NTSC,1920 x 1200 pixels (FullHD+),Công nghệ Acer PurifiebrGiảm tiếng ồn AIHai loa âm thanh nổi tích hợp sẵn,Vỏ nhựa,319.8 x 227.9 x 18.9 mm (W x D x H),1.5 kg,"Wi-Fi 6, Màn hình cảm ứng, Xoay gập 360 độ (2 in 1)",,"Người dùng BIOS, giám sát mật khẩu, Khe khóa Kensington",,Windows 11 Home,40Wh Li-ion battery,Wi-Fi 6,Có,"1 x USB-C  2 x USB-A  1 x HDMI 2.1 với HDCP 1 x Giắc cắm tai nghe/loa 3.5 mm, hỗ trợ tai nghe có micrô tích hợp 1 x Giắc cắm DC-in cho AC adapter"
Sinh viên,laptop-masstel-e140,Laptop Masstel E140 Celeron,3590000,85,5,masstel,e140,0.0,"Trang bị vi xử lý Intel Celeron N4120, RAM 4GB xử lý mượt mà các tác vụ văn phòng cơ bản, lướt web, xem phim giải trí. Ổ cứng SSD 128GB cho tốc độ khởi động máy và mở ứng dụng nhanh chóng, đồng thời cung cấp không gian lưu trữ tài liệu, hình ảnh, video vừa đủ. Màn hình HD mang đến chất lượng hiển thị rõ ràng, màu sắc trung thực, đáp ứng tốt nhu cầu học tập, làm việc và giải trí. Với trọng lượng chỉ 1.39kg, dàng mang theo bên mình đến lớp học, văn phòng hay khi di chuyển. Sở hữu mức giá phải chăng, là lựa chọn hợp lý cho học sinh, sinh viên, người mới đi làm hoặc những ai cần một chiếc laptop cơ bản với ngân sách tiết kiệm.",Xám,2021,Hàn Quốc,Intel UHD,"Intel Celeron N4120 1.1 Ghz (upto 2.6 GHz , 4 lõi / 4 luồng)",4GB,DDR4,4GB DDR4,SSD 128 GB,SSDGB,60 Hz,Tấm nền IPS,14 inches,Độ sáng 250 nits,1366 x 768 pixels,,Vỏ nhựa,329 x 220 x 18.7 mm,1.39 kg,,,Mật khẩu,,Windows 10 Pro,37 Wh,Wi-Fi 4 (802.11 b/g/n),,HDMI 1  USB 3.0 2  Jack 3.5 mm 1
Sinh viên,laptop-lenovo-ideapad-slim-5-14iah8-83bf002nvn,Laptop Lenovo Ideapad Slim 5 14IAH8 83BF002NVN,15990000,88,15,lenovo,ideapad,0.0,"Sở hữu thiết kế tinh tế với lớp vỏ nhôm sáng bóng, sang trọng Màn hình 14 inch WUXGA cực sắc nét, hỗ trợ làm việc, giải trí dễ dàng CPU Intel Core i5-12450H mạnh mẽ, giải quyết nhanh mọi tác vụ học tập, văn phòng RAM 16GB cùng ổ cứng 512GB SSD đa nhiệm, mở máy, mở ứng dụng cực nhanh Độ sáng lên đến 300nits hỗ trợ làm việc ở nơi có ánh sáng yếu",Xám,2022,Hàn Quốc,Intel UHD Graphics,"Intel Core i5-12450H (8 lõi: (4P + 4E) / 12 luồng: P-core 2.0 / 4.4GHz, E-core 1.5 / 3.3GHz, 12MB)",16GB,LPDDR5-4800 Onboard,16GB LPDDR5-4800 Onboard,512GB SSD M.2 2242 PCIe 4.0x4 NVMe (nâng cấp tối đa đến 1TB),512GB,,Tấm nền IPS,14 inches,Độ sáng 300nits  Màn hình chống chói  Độ phủ màu 45% NTSC  TÜV Low Blue Light,1920 x 1200 pixels (WUXGA),"Âm thanh độ nét cao (HD)Loa âm thanh nổi, 2W x2  Dolby Audio",Vỏ kim loại,312 x 221 x 17.9 mm (W x D x H),1.46 kg,Wi-Fi 6,,Firmware TPM 2.0,,Windows 11 Home,56.6Wh,"Wi-Fi 6, 11ax 2x2",Bluetooth 5.1,"1x USB 3.2 Gen 11x USB 3.2 Gen 1 (Luôn bật) 2x USB-C 3.2 Gen 1 (Truyền dữ liệu, Power Delivery 3.0, DisplayPort 1.4) 1x HDMI 1.4b 1x Đầu đọc thẻ microSD1x Headphone / microphone combo jack (3.5mm)"
Sinh viên,laptop-dell-inspiron-15-3520-5810blk-102f0,Laptop Dell Inspiron 15 3520-5810BLK 102F0,12990000,18,77,dell,inspiron,1.0,"Thiết kế đơn giản, trẻ trung với tone màu đen bao phủ. Màn hình cảm ứng 15.6 inch Full HD cho trải nghiệm hình ảnh vô cùng sắc nét. CPU Intel core i5-1155G7 cùng 8 GB RAM DDR4 xử lý mượt các tác vụ văn phòng: Word, Excel,... Card đồ họa Intel Iris Xe Graphics hỗ trợ chỉnh ảnh đơn giản. Không gian lưu trữ vừa phải với ổ cứng 256 GB SSD.",Đen,2023,Đài Loan,Intel Iris Xe Graphics,"Intel Core i5-1155G7 (15 W, 4 lõi / 8 luồng, 2.50 GHz to 4.50 GHz, 8 MB)",8GB,DDR4 2666 MHz,8GB DDR4 2666 MHz 2 khe SODIMM (nâng cấp tối đa 16GB),256 GB,256GB,60 Hz,Tấm nền IPS,15.6 inches,Độ sáng 250 nits Độ phủ màu NTSC 45% Màn hình chống chói,1920 x 1080 pixels (FullHD),"Âm thanh độ nét cao, 2 W - 2.5 W",Vỏ nhựa,16.96 - 18.99 x 358.50 x 235.56 mm (H x W x D),1.90 kg,,,,,Windows 11,lithium-polymer,WiFi 802.11a/b/g,Bluetooth 5.1,1x Đầu nối nguồn  1x HDMI 1.4  2x USB 3.2 Gen 1 1x Khe cắm thẻ SD 1x USB 2.0 1x Cổng tai nghe
Sinh viên,laptop-asus-vivobook-14-x1404za-nk386w,Laptop ASUS Vivobook 14 X1404ZA-NK386W,9690000,66,33,asus,vivobook,1.4,"I3-1215U là còn chip hỗ trợ tốt bạn các công việc văn phòng và học tập Màn hình 14 inch Full HD chắc hẳn sẽ đem đến cho bạn những giây phút thư giãn sống động RAM 8GB cùng ổ cứng 512GB SSD chắc hẳn sẽ cho bạn khoảnh khắc lướt tab mượt mà mà không lo giật lag Thiết kế sang trọng cùng trọng lượng mỏng nhẹ chỉ 1.4kg, chắc hẳn sẽ chinh phục bạn trong những ánh nhìn đầu tiên",Xanh,2023,Trung Quốc,Intel UHD Graphics,"Intel Core i3-1215U 6 Nhân, 8 Luồng",8GB,8GB DDR4 3200MHz on board,8GB 8GB DDR4 3200MHz on board 1 x DDR4 on board slot (Đã sử dụng)Còn trống 1 x DDR4 SO-DIMM slot,512GB SSD M.2 NVMe PCIe 3.01x M.2 2280 PCIe 4.0x4 (Đã sử dụng),512GB,60Hz,,14 inches,Tỷ lệ khung hình 16:9Độ phủ màu 45% NTSCMàn hình chống chóiĐèn nền LED,1080 x 1920 pixels (FullHD),SonicMasterLoa tích hợpMicrô array tích hợp hỗ trợ nhận dạng giọng Cortana,,32.49 x 21.39 x 1.79 ~ 1.79 cm,1.40 kg,Wi-Fi 6,"Bàn phím Chiclet, Hành trình phím 1,4mm, Chuột cảm ứng chính xác, Hỗ trợ NumberPad",Bảo vệ bằng Mật khẩu Người dùng BIOSTrusted Platform Module (Firmware TPM) Mật khẩu người dùng thiết lập BIOS McAfee® Cảm biến vân tay tích hợp với Bàn di chuột,,Windows 11 home,"42WHrs, 3S1P, 3-cell Li-ion",Wi-Fi 6E(802.11ax),Bluetooth 5.3,1x USB 2.0 Type-A1x USB 3.2 Gen 1 Type-C2x USB 3.2 Gen 1 Type-A 1 x HDMI 1.41x DC-in
Sinh viên,laptop-dell-inspiron-15-3520-6hd73,Laptop Dell Inspiron 15 3520 6HD73,17990000,68,65,dell,inspiron,3.9,"Laptop Dell Inspiron 15 3520 với hiệu năng mạnh mẽ từ CPU Intel Core i7-1255U 10 nhân 12 luồng. Màn hình 15.6 inch FHD cho hình ảnh sắc nét, sống động. RAM 16GB DDR4 và SSD 512GB PCIe NVMe cho khả năng đa nhiệm và khởi động nhanh chóng. Thiết kế thanh lịch, gọn nhẹ, phù hợp cho công việc và học tập.",Đen,2024,Hàn Quốc,Intel Iris Xe Graphics,"Intel Core i7-1255U (thế hệ thứ 12 / 10 nhân 12 luồng / 4.70 GHz, 12MB)",16GB,DDR4,16GB DDR4 2 khe - tối đa 32GB,512 GB - 1 khe tối đa 1TB,512GB,120 Hz,Tấm nền IPS,15.6 inches,Độ phủ màu NTSC 45% Màn hình chống chói,1920 x 1080 pixels (FullHD),Realtek ALC3204/Realtek ALC3254,,16.96 x 358.50 x 235.56 mm (C x R x S ),1.66 kg,,,,,Windows 11 Home,"41Wh , 3Cell",Card 8821CE-VC,Bluetooth 5.0,1x Đầu nối nguồn 1x HDMI 1.4 2x USB 3.2 Gen 1 1x Khe cắm thẻ SD 1x USB 2.0 1x Cổng tai nghe
